County,SiteName,Grade,"# Documentation Required
(Adjusted Enrollment)","# Vaccinated:
DTaP/Tdap","% Vaccinated:
DTaP/Tdap","# Vaccinated:
Polio","% Vaccinated:
Polio","# Vaccinated:
Varicella","% Vaccinated:
Varicella","# Vaccinated:
MMR1","% Vaccinated:
Mumps/Rubella","# Vaccinated:
Measles","% Vaccinated:
Measles","# Vaccinated:
HepB","% Vaccinated:
HepB","# Requiring
HepA","# Vaccinated:
HepA","% Vaccinated:
HepA","# with all
vaccines required","% with all
vaccines required","# Nonmedical Exemptions
Any Vaccines","% Nonmedical Exemptions
Any Vaccines","# Exemption:
DTaP/Tdap","% Exemption:
DTaP/Tdap","# Exemption:
Polio","% Exemption:
Polio","# Exemption:
Varicella","% Exemption:
Varicella","# Exemption:
Measles","% Exemption:
Measles","# Exemption:
Mumps","% Exemption:
Mumps","# Exemption:
Rubella","% Exemption:
Rubella","# Exemption:
HepB","% Exemption:
HepB","# Exemption:
HepA","% Exemption:
HepA","# Nonmedical Exemptions
All Vaccines","% Nonmedical Exemptions
All Vaccines",# No Record,% No Record,"# w/ Medical
Exemption(s)","% w/ Medical
Exemption(s)",# Not Counted
Linn,OAK ELEMENTARY,FULL SCHOOL GRADES K-12,317,304,96%,304,96%,309,97%,308,97%,304,96%,306,97%,317,302,95%,299,94%,13,4%,10,3%,11,3%,7,2%,11,3%,9,3%,9,3%,7,2%,11,3%,4,1%,0,0%,2,1%,0
Linn,OAK HEIGHTS ELEMENTARY,FULL SCHOOL GRADES K-12,312,298,96%,299,96%,300,96%,297,95%,297,95%,299,96%,312,299,96%,291,93%,14,4%,10,3%,10,3%,9,3%,12,4%,8,3%,8,3%,10,3%,7,2%,7,2%,2,1%,1,0%,0
Linn,Oregon Connections Academy,FULL SCHOOL GRADES K-12,"4,227","3,777",89%,"3,861",91%,"3,921",93%,"3,944",93%,"3,859",91%,"3,903",92%,"3,244","2,904",90%,"3,674",87%,429,10%,356,8%,288,7%,238,6%,293,7%,214,5%,215,5%,250,6%,262,8%,194,5%,0,0%,6,0%,0
Linn,PERIWINKLE ELEMENTARY,FULL SCHOOL GRADES K-12,431,427,99%,427,99%,430,100%,430,100%,428,99%,429,100%,431,428,99%,425,99%,4,1%,4,1%,4,1%,1,0%,3,1%,1,0%,1,0%,1,0%,1,0%,1,0%,0,0%,0,0%,0
Linn,PIONEER SCHOOL,FULL SCHOOL GRADES K-12,372,356,96%,357,96%,363,98%,362,97%,358,96%,363,98%,372,360,97%,355,95%,16,4%,15,4%,14,4%,9,2%,13,3%,10,3%,10,3%,9,2%,12,3%,8,2%,0,0%,0,0%,0
Linn,RIVERSIDE HIGH SCHOOL,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linn,RIVERVIEW SCHOOL,FULL SCHOOL GRADES K-12,424,409,96%,412,97%,414,98%,415,98%,412,97%,415,98%,424,412,97%,408,96%,14,3%,13,3%,10,2%,10,2%,10,2%,9,2%,9,2%,8,2%,11,3%,7,2%,0,0%,0,0%,0
Linn,SAND RIDGE CHARTER SCHOOL,FULL SCHOOL GRADES K-12,323,307,95%,307,95%,309,96%,310,96%,306,95%,309,96%,323,307,95%,301,93%,21,7%,16,5%,16,5%,14,4%,17,5%,13,4%,13,4%,14,4%,15,5%,11,3%,0,0%,0,0%,0
Linn,SANTIAM ELEMENTARY,FULL SCHOOL GRADES K-12,303,285,94%,288,95%,288,95%,292,96%,286,94%,294,97%,303,285,94%,281,93%,20,7%,18,6%,15,5%,15,5%,17,6%,11,4%,11,4%,9,3%,16,5%,7,2%,0,0%,0,0%,0
Linn,SANTIAM JR/SR HIGH,FULL SCHOOL GRADES K-12,256,243,95%,248,97%,249,97%,250,98%,247,96%,249,97%,174,166,95%,240,94%,14,5%,12,5%,6,2%,6,2%,7,3%,5,2%,5,2%,6,2%,7,4%,5,2%,0,0%,2,1%,0
Linn,SCIO HIGH SCHOOL,FULL SCHOOL GRADES K-12,232,225,97%,225,97%,226,97%,226,97%,224,97%,226,97%,115,110,96%,224,97%,7,3%,6,3%,6,3%,6,3%,7,3%,6,3%,6,3%,6,3%,5,4%,5,2%,0,0%,1,0%,1
Linn,SCIO MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,151,145,96%,149,99%,148,98%,149,99%,149,99%,148,98%,151,146,97%,141,93%,7,5%,5,3%,2,1%,3,2%,2,1%,2,1%,2,1%,3,2%,3,2%,1,1%,0,0%,0,0%,0
Linn,SEVEN OAK MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,591,569,96%,575,97%,574,97%,579,98%,575,97%,577,98%,590,574,97%,560,95%,24,4%,18,3%,15,3%,16,3%,14,2%,11,2%,11,2%,12,2%,15,3%,11,2%,0,0%,0,0%,0
Linn,SOUTH ALBANY HIGH SCHOOL,FULL SCHOOL GRADES K-12,"1,279","1,260",99%,"1,273",100%,"1,274",100%,"1,273",100%,"1,269",99%,"1,274",100%,691,684,99%,"1,254",98%,22,2%,18,1%,6,0%,5,0%,10,1%,6,0%,6,0%,5,0%,5,1%,4,0%,0,0%,1,0%,0
Linn,SOUTH SHORE ELEMENTARY,FULL SCHOOL GRADES K-12,421,418,99%,417,99%,418,99%,418,99%,418,99%,416,99%,421,413,98%,411,98%,5,1%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,5,1%,4,1%,3,1%,0,0%,0,0%,0
Linn,STANDARD CHRISTIAN SCHOOL,FULL SCHOOL GRADES K-12,24,22,92%,22,92%,22,92%,22,92%,22,92%,22,92%,19,17,89%,22,92%,2,8%,2,8%,2,8%,2,8%,2,8%,2,8%,2,8%,2,8%,2,11%,2,8%,0,0%,0,0%,0
Linn,SUNDBORN CHILDREN'S HOUSE,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linn,SUNRISE ELEMENTARY SCHOOL,FULL SCHOOL GRADES K-12,328,324,99%,327,100%,327,100%,327,100%,326,99%,327,100%,328,324,99%,322,98%,2,1%,2,1%,1,0%,1,0%,2,1%,1,0%,1,0%,1,0%,1,0%,1,0%,0,0%,0,0%,0
Linn,Sweet Home Charter School,FULL SCHOOL GRADES K-12,146,140,96%,141,97%,139,95%,137,94%,137,94%,140,96%,146,137,94%,135,92%,9,6%,6,4%,5,3%,7,5%,8,5%,5,3%,5,3%,6,4%,8,5%,3,2%,0,0%,1,1%,0
Linn,SWEET HOME HIGH SCHOOL,FULL SCHOOL GRADES K-12,674,654,97%,657,97%,662,98%,664,99%,659,98%,661,98%,337,324,96%,650,96%,22,3%,19,3%,16,2%,11,2%,14,2%,9,1%,9,1%,12,2%,11,3%,9,1%,1,0%,0,0%,0
Linn,SWEET HOME JUNIOR HIGH SCHOOL,FULL SCHOOL GRADES K-12,381,359,94%,368,97%,371,97%,368,97%,368,97%,372,98%,381,367,96%,353,93%,19,5%,15,4%,12,3%,10,3%,12,3%,9,2%,9,2%,9,2%,12,3%,6,2%,0,0%,0,0%,0
Linn,TAKENA ELEMENTARY SCHOOL,FULL SCHOOL GRADES K-12,140,134,96%,133,95%,135,96%,138,99%,135,96%,133,95%,140,135,96%,127,91%,9,6%,6,4%,6,4%,4,3%,5,4%,1,1%,1,1%,7,5%,4,3%,1,1%,0,0%,0,0%,0
Linn,TANGENT ELEMENTARY SCHOOL,FULL SCHOOL GRADES K-12,131,130,99%,130,99%,130,99%,131,100%,130,99%,130,99%,131,129,98%,129,98%,2,2%,1,1%,1,1%,1,1%,1,1%,0,0%,0,0%,1,1%,2,2%,0,0%,0,0%,0,0%,0
Linn,THREE LAKES HIGH (OYA),FULL SCHOOL GRADES K-12,43,43,100%,43,100%,43,100%,43,100%,43,100%,43,100%,43,43,100%,43,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Linn,Timber Ridge School,FULL SCHOOL GRADES K-12,714,709,99%,709,99%,712,100%,712,100%,709,99%,710,99%,714,709,99%,708,99%,5,1%,5,1%,5,1%,2,0%,5,1%,2,0%,2,0%,4,1%,4,1%,2,0%,0,0%,0,0%,0
Linn,WAVERLY ELEMENTARY SCHOOL,FULL SCHOOL GRADES K-12,263,259,98%,259,98%,259,98%,259,98%,259,98%,260,99%,263,258,98%,258,98%,4,2%,4,2%,4,2%,4,2%,4,2%,4,2%,4,2%,3,1%,4,2%,3,1%,0,0%,0,0%,0
Linn,West Albany High School,FULL SCHOOL GRADES K-12,"1,196","1,172",98%,"1,178",98%,"1,182",99%,"1,183",99%,"1,174",98%,"1,178",98%,633,618,98%,"1,165",97%,29,2%,23,2%,18,2%,15,1%,21,2%,13,1%,13,1%,18,2%,15,2%,11,1%,0,0%,2,0%,0
Malheur,Adrian Elementary & Middle School,FULL SCHOOL GRADES K-12,200,198,99%,197,99%,198,99%,197,99%,197,99%,200,100%,200,198,99%,197,99%,2,1%,1,1%,2,1%,2,1%,2,1%,2,1%,2,1%,0,0%,2,1%,0,0%,0,0%,1,1%,0
Malheur,Adrian High School,FULL SCHOOL GRADES K-12,88,85,97%,85,97%,87,99%,85,97%,85,97%,85,97%,48,46,96%,85,97%,3,3%,3,3%,3,3%,1,1%,3,3%,3,3%,3,3%,3,3%,2,4%,1,1%,0,0%,0,0%,0
Malheur,Aiken Elementary School,FULL SCHOOL GRADES K-12,286,281,98%,281,98%,281,98%,281,98%,281,98%,281,98%,286,281,98%,281,98%,5,2%,5,2%,5,2%,5,2%,5,2%,5,2%,5,2%,5,2%,5,2%,5,2%,0,0%,0,0%,0
Malheur,Alameda Elementary,FULL SCHOOL GRADES K-12,403,396,98%,396,98%,396,98%,396,98%,396,98%,396,98%,403,396,98%,396,98%,7,2%,7,2%,7,2%,7,2%,7,2%,7,2%,7,2%,7,2%,7,2%,7,2%,0,0%,0,0%,0
Malheur,Annex  Charter School,FULL SCHOOL GRADES K-12,87,79,91%,79,91%,80,92%,79,91%,79,91%,80,92%,87,80,92%,79,91%,7,8%,7,8%,7,8%,7,8%,7,8%,7,8%,7,8%,7,8%,7,8%,7,8%,0,0%,1,1%,0
Malheur,Cairo Elementary School,FULL SCHOOL GRADES K-12,145,145,100%,145,100%,145,100%,145,100%,145,100%,145,100%,145,145,100%,145,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Malheur,Four Rivers Community School,FULL SCHOOL GRADES K-12,169,166,98%,166,98%,166,98%,167,99%,167,99%,169,100%,169,167,99%,166,98%,3,2%,3,2%,3,2%,3,2%,2,1%,2,1%,2,1%,0,0%,2,1%,0,0%,0,0%,0,0%,0
Malheur,Four Rivers Preparatory School,FULL SCHOOL GRADES K-12,85,84,99%,84,99%,84,99%,84,99%,84,99%,84,99%,85,84,99%,84,99%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,0,0%,0,0%,0
Malheur,Four Rivers Senior Prepatory,FULL SCHOOL GRADES K-12,63,62,98%,62,98%,62,98%,62,98%,62,98%,62,98%,42,41,98%,62,98%,1,2%,1,2%,1,2%,1,2%,1,2%,1,2%,1,2%,1,2%,1,2%,1,2%,0,0%,0,0%,0
Malheur,Harper Elementary School,FULL SCHOOL GRADES K-12,107,106,99%,106,99%,106,99%,106,99%,106,99%,106,99%,86,86,100%,106,99%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,0,0%,1,1%,0,0%,0,0%,0
Malheur,Jordan Valley Elementary School,FULL SCHOOL GRADES K-12,18,18,100%,18,100%,18,100%,18,100%,18,100%,18,100%,18,18,100%,18,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Malheur,Jordan Valley High School,FULL SCHOOL GRADES K-12,38,38,100%,38,100%,38,100%,38,100%,38,100%,38,100%,20,20,100%,38,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Malheur,Juntura Elementary School,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malheur,May Roberts Elementary,FULL SCHOOL GRADES K-12,397,390,98%,390,98%,390,98%,390,98%,390,98%,391,98%,397,391,98%,390,98%,7,2%,7,2%,7,2%,7,2%,7,2%,7,2%,7,2%,6,2%,6,2%,6,2%,0,0%,0,0%,0
Malheur,Nyssa Elementary School,FULL SCHOOL GRADES K-12,585,585,100%,585,100%,585,100%,585,100%,585,100%,585,100%,585,585,100%,585,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Malheur,Nyssa High School,FULL SCHOOL GRADES K-12,333,326,98%,327,98%,326,98%,327,98%,327,98%,327,98%,165,162,98%,324,97%,8,2%,6,2%,5,2%,6,2%,5,2%,5,2%,5,2%,5,2%,3,2%,3,1%,0,0%,1,0%,0
Malheur,Nyssa Middle School,FULL SCHOOL GRADES K-12,259,254,98%,256,99%,256,99%,257,99%,256,99%,257,99%,259,256,99%,254,98%,4,2%,4,2%,3,1%,3,1%,3,1%,2,1%,2,1%,2,1%,3,1%,2,1%,0,0%,0,0%,0
Malheur,Ontario High School,FULL SCHOOL GRADES K-12,695,683,98%,683,98%,685,99%,683,98%,683,98%,684,98%,346,336,97%,683,98%,12,2%,12,2%,12,2%,10,1%,12,2%,12,2%,12,2%,11,2%,12,3%,10,1%,0,0%,0,0%,0
Malheur,Ontario Middle School,FULL SCHOOL GRADES K-12,351,347,99%,348,99%,348,99%,348,99%,348,99%,348,99%,351,348,99%,347,99%,4,1%,4,1%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,0,0%,0,0%,0
Malheur,Pioneer Elementary  School,FULL SCHOOL GRADES K-12,125,119,95%,119,95%,120,96%,119,95%,119,95%,120,96%,125,120,96%,119,95%,6,5%,6,5%,6,5%,5,4%,6,5%,6,5%,6,5%,5,4%,5,4%,5,4%,0,0%,0,0%,0
Malheur,Rockville Elementary School,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malheur,St Peter Catholic School,FULL SCHOOL GRADES K-12,64,64,100%,64,100%,64,100%,64,100%,64,100%,64,100%,50,50,100%,64,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Malheur,Treasure Valley Christian School,FULL SCHOOL GRADES K-12,75,69,92%,69,92%,69,92%,69,92%,69,92%,69,92%,66,61,92%,66,88%,6,8%,6,8%,6,8%,6,8%,6,8%,6,8%,6,8%,6,8%,5,8%,6,8%,0,0%,0,0%,0
Malheur,Vale Elementary School,FULL SCHOOL GRADES K-12,459,448,98%,448,98%,448,98%,448,98%,448,98%,448,98%,459,448,98%,448,98%,11,2%,11,2%,11,2%,11,2%,11,2%,11,2%,11,2%,11,2%,11,2%,11,2%,0,0%,0,0%,0
Malheur,Vale High School,FULL SCHOOL GRADES K-12,288,279,97%,283,98%,283,98%,283,98%,283,98%,283,98%,148,146,99%,279,97%,9,3%,9,3%,5,2%,5,2%,5,2%,5,2%,5,2%,5,2%,2,1%,2,1%,0,0%,0,0%,0
Malheur,Vale Middle School,FULL SCHOOL GRADES K-12,113,109,96%,109,96%,109,96%,109,96%,109,96%,109,96%,113,109,96%,109,96%,4,4%,4,4%,4,4%,4,4%,4,4%,4,4%,4,4%,4,4%,4,4%,4,4%,0,0%,0,0%,0
Malheur,Willow Creek School,FULL SCHOOL GRADES K-12,97,88,91%,88,91%,88,91%,88,91%,88,91%,88,91%,97,88,91%,88,91%,9,9%,9,9%,9,9%,9,9%,9,9%,9,9%,9,9%,9,9%,9,9%,9,9%,0,0%,0,0%,0
Malheur,WW Jones - Arock School,FULL SCHOOL GRADES K-12,17,17,100%,17,100%,17,100%,17,100%,17,100%,17,100%,17,17,100%,17,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Marion,Abiqua Academy,FULL SCHOOL GRADES K-12,163,158,97%,158,97%,159,98%,159,98%,159,98%,159,98%,141,135,96%,156,96%,7,4%,5,3%,5,3%,4,2%,4,2%,4,2%,4,2%,4,2%,6,4%,4,2%,0,0%,0,0%,0
Marion,Ark Angels Preschool & Our Saviour's Christian Ele,FULL SCHOOL GRADES K-12,69,66,96%,65,94%,64,93%,66,96%,66,96%,64,93%,69,62,90%,62,90%,7,10%,3,4%,4,6%,5,7%,3,4%,3,4%,3,4%,5,7%,7,10%,3,4%,0,0%,0,0%,0
Marion,Auburn Elementary,FULL SCHOOL GRADES K-12,668,652,98%,653,98%,664,99%,658,99%,658,99%,661,99%,668,651,97%,644,96%,9,1%,8,1%,8,1%,4,1%,9,1%,4,1%,4,1%,6,1%,7,1%,4,1%,0,0%,0,0%,0
Marion,Aumsville Elementary 3-5,FULL SCHOOL GRADES K-12,294,281,96%,280,95%,279,95%,282,96%,280,95%,281,96%,294,281,96%,277,94%,16,5%,13,4%,14,5%,15,5%,14,5%,12,4%,12,4%,12,4%,13,4%,11,4%,0,0%,0,0%,0
Marion,Aumsville Elementary K-2,FULL SCHOOL GRADES K-12,247,235,95%,234,95%,234,95%,236,96%,235,95%,234,95%,247,233,94%,230,93%,13,5%,12,5%,12,5%,13,5%,12,5%,11,4%,11,4%,12,5%,12,5%,11,4%,0,0%,0,0%,0
Marion,Battle Creek Elementary,FULL SCHOOL GRADES K-12,634,601,95%,606,96%,616,97%,617,97%,607,96%,611,96%,634,599,94%,581,92%,36,6%,27,4%,22,3%,18,3%,27,4%,17,3%,17,3%,20,3%,22,3%,15,2%,0,0%,0,0%,0
Marion,Bethany Charter School,FULL SCHOOL GRADES K-12,137,121,88%,116,85%,124,91%,124,91%,118,86%,117,85%,137,114,83%,112,82%,25,18%,16,12%,21,15%,13,9%,19,14%,12,9%,12,9%,20,15%,23,17%,12,9%,0,0%,0,0%,0
Marion,BIC,FULL SCHOOL GRADES K-12,15,13,87%,13,87%,14,93%,14,93%,13,87%,14,93%,15,13,87%,13,87%,2,13%,2,13%,2,13%,1,7%,2,13%,1,7%,1,7%,1,7%,2,13%,1,7%,0,0%,0,0%,0
Marion,Blanchet Catholic School,FULL SCHOOL GRADES K-12,312,310,99%,310,99%,311,100%,311,100%,311,100%,311,100%,215,215,100%,310,99%,2,1%,2,1%,2,1%,1,0%,1,0%,1,0%,1,0%,1,0%,1,0%,1,0%,0,0%,0,0%,0
Marion,Bud to Blossom Day Care,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion,Bush Elementary,FULL SCHOOL GRADES K-12,303,294,97%,294,97%,298,98%,298,98%,296,98%,297,98%,303,297,98%,292,96%,8,3%,7,2%,7,2%,5,2%,7,2%,5,2%,5,2%,6,2%,5,2%,3,1%,0,0%,1,0%,0
Marion,"Buttercup Hill, Inc",FULL SCHOOL GRADES K-12,23,23,100%,23,100%,23,100%,23,100%,23,100%,23,100%,23,23,100%,23,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1
Marion,Candalaria Elementary,FULL SCHOOL GRADES K-12,333,321,96%,320,96%,323,97%,324,97%,322,97%,319,96%,333,318,95%,316,95%,16,5%,12,4%,13,4%,10,3%,11,3%,9,3%,9,3%,14,4%,14,4%,9,3%,0,0%,0,0%,0
Marion,Cascade Junior High School,FULL SCHOOL GRADES K-12,567,549,97%,549,97%,552,97%,555,98%,550,97%,554,98%,567,550,97%,535,94%,32,6%,17,3%,18,3%,15,3%,17,3%,12,2%,12,2%,13,2%,17,3%,6,1%,0,0%,0,0%,0
Marion,Cascade Opportunity Center,FULL SCHOOL GRADES K-12,72,72,100%,71,99%,71,99%,71,99%,71,99%,71,99%,71,71,100%,71,99%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,0,0%,1,1%,0,0%,0,0%,0
Marion,Cascade Senior High School,FULL SCHOOL GRADES K-12,685,672,98%,671,98%,673,98%,674,98%,669,98%,676,99%,364,351,96%,658,96%,25,4%,10,1%,14,2%,11,2%,15,2%,10,1%,10,1%,9,1%,11,3%,0,0%,0,0%,1,0%,0
Marion,Cascade View Christian School,FULL SCHOOL GRADES K-12,112,80,71%,80,71%,80,71%,80,71%,80,71%,80,71%,112,80,71%,80,71%,32,29%,32,29%,32,29%,32,29%,32,29%,32,29%,32,29%,32,29%,32,29%,32,29%,0,0%,0,0%,0
Marion,Centennial CTP,FULL SCHOOL GRADES K-12,15,15,100%,15,100%,15,100%,15,100%,15,100%,15,100%,<10,,,15,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,,,0,0%,0,0%,0,0%,0
Marion,Central Howell Elementary,FULL SCHOOL GRADES K-12,184,175,95%,175,95%,176,96%,175,95%,174,95%,174,95%,184,172,93%,170,92%,13,7%,9,5%,9,5%,8,4%,10,5%,9,5%,9,5%,10,5%,11,6%,8,4%,0,0%,0,0%,0
Marion,Cesar E Chavez Elementary,FULL SCHOOL GRADES K-12,574,561,98%,562,98%,567,99%,567,99%,562,98%,566,99%,574,553,96%,550,96%,10,2%,9,2%,9,2%,7,1%,10,2%,7,1%,7,1%,7,1%,10,2%,6,1%,0,0%,0,0%,0
Marion,Chemawa Indian Clinic/School,FULL SCHOOL GRADES K-12,328,328,100%,328,100%,328,100%,328,100%,328,100%,328,100%,191,191,100%,328,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Marion,Chemeketa Child Dev. Center,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion,Chemeketa CTP,FULL SCHOOL GRADES K-12,17,17,100%,17,100%,17,100%,17,100%,17,100%,17,100%,<10,,,17,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,,,0,0%,0,0%,0,0%,0
Marion,Chesterton Academy of the Willamette Valley,FULL SCHOOL GRADES K-12,12,10,83%,10,83%,10,83%,11,92%,11,92%,11,92%,12,10,83%,8,67%,4,33%,2,17%,2,17%,2,17%,1,8%,1,8%,1,8%,1,8%,2,17%,1,8%,0,0%,0,0%,0
Marion,Claggett Creek Middle,FULL SCHOOL GRADES K-12,961,944,98%,953,99%,955,99%,954,99%,953,99%,955,99%,961,951,99%,941,98%,18,2%,16,2%,8,1%,6,1%,8,1%,7,1%,7,1%,6,1%,9,1%,5,1%,0,0%,0,0%,0
Marion,Clear Lake Elementary,FULL SCHOOL GRADES K-12,396,379,96%,378,95%,384,97%,384,97%,379,96%,381,96%,396,379,96%,373,94%,20,5%,16,4%,17,4%,12,3%,17,4%,12,3%,12,3%,15,4%,15,4%,10,3%,0,0%,0,0%,0
Marion,Cloverdale Elementary School #5,FULL SCHOOL GRADES K-12,163,157,96%,158,97%,157,96%,159,98%,156,96%,158,97%,163,157,96%,154,94%,7,4%,5,3%,5,3%,6,4%,6,4%,4,2%,4,2%,5,3%,6,4%,4,2%,0,0%,0,0%,0
Marion,Crosshill Christian School North Campus,FULL SCHOOL GRADES K-12,76,73,96%,73,96%,73,96%,73,96%,73,96%,74,97%,76,74,97%,72,95%,3,4%,3,4%,3,4%,3,4%,3,4%,3,4%,3,4%,2,3%,2,3%,2,3%,0,0%,1,1%,0
Marion,Crosshill Christian School South Campus,FULL SCHOOL GRADES K-12,320,292,91%,291,91%,297,93%,294,92%,292,91%,296,93%,271,244,90%,287,90%,33,10%,28,9%,29,9%,23,7%,28,9%,26,8%,26,8%,24,8%,24,9%,23,7%,0,0%,0,0%,0
Marion,Crossler Middle,FULL SCHOOL GRADES K-12,839,810,97%,824,98%,826,98%,826,98%,822,98%,826,98%,839,817,97%,801,95%,29,3%,24,3%,15,2%,12,1%,15,2%,10,1%,10,1%,11,1%,19,2%,8,1%,0,0%,3,0%,0
Marion,Cummings Elementary,FULL SCHOOL GRADES K-12,407,396,97%,398,98%,403,99%,401,99%,396,97%,403,99%,407,394,97%,390,96%,12,3%,9,2%,8,2%,4,1%,10,2%,6,1%,6,1%,4,1%,7,2%,0,0%,0,0%,0,0%,0
Marion,Eagle Charter School,FULL SCHOOL GRADES K-12,140,136,97%,135,96%,139,99%,140,100%,137,98%,139,99%,140,139,99%,124,89%,16,11%,12,9%,14,10%,11,8%,13,9%,11,8%,11,8%,14,10%,15,11%,11,8%,0,0%,0,0%,0
Marion,Early College High School,FULL SCHOOL GRADES K-12,193,189,98%,192,99%,192,99%,192,99%,192,99%,191,99%,113,112,99%,189,98%,4,2%,4,2%,1,1%,1,1%,1,1%,1,1%,1,1%,2,1%,1,1%,1,1%,0,0%,0,0%,0
Marion,Englewood Elementary,FULL SCHOOL GRADES K-12,345,334,97%,334,97%,337,98%,338,98%,335,97%,335,97%,345,331,96%,328,95%,10,3%,8,2%,8,2%,7,2%,8,2%,6,2%,6,2%,7,2%,8,2%,5,1%,0,0%,2,1%,0
Marion,Evergreen Elementary School #4,FULL SCHOOL GRADES K-12,85,73,86%,73,86%,73,86%,76,89%,70,82%,73,86%,85,70,82%,69,81%,15,18%,11,13%,11,13%,12,14%,14,16%,9,11%,9,11%,12,14%,14,16%,9,11%,0,0%,1,1%,0
Marion,Eyre Elementary,FULL SCHOOL GRADES K-12,543,533,98%,535,99%,536,99%,537,99%,536,99%,538,99%,543,536,99%,529,97%,6,1%,5,1%,5,1%,5,1%,5,1%,4,1%,4,1%,4,1%,5,1%,2,0%,0,0%,1,0%,0
Marion,Forest Ridge Elementary,FULL SCHOOL GRADES K-12,235,224,95%,224,95%,224,95%,225,96%,224,95%,223,95%,235,221,94%,219,93%,14,6%,11,5%,11,5%,11,5%,11,5%,10,4%,10,4%,12,5%,12,5%,10,4%,0,0%,0,0%,0
Marion,Four Corners,FULL SCHOOL GRADES K-12,481,464,96%,465,97%,473,98%,474,99%,466,97%,472,98%,481,463,96%,458,95%,16,3%,14,3%,13,3%,8,2%,13,3%,7,1%,7,1%,8,2%,12,2%,6,1%,0,0%,0,0%,0
Marion,French Prairie Middle School #103,FULL SCHOOL GRADES K-12,674,667,99%,668,99%,668,99%,669,99%,668,99%,669,99%,674,668,99%,666,99%,7,1%,6,1%,6,1%,6,1%,6,1%,5,1%,5,1%,5,1%,6,1%,5,1%,0,0%,0,0%,0
Marion,Frontier Charter Academy,FULL SCHOOL GRADES K-12,338,251,74%,259,77%,276,82%,280,83%,264,78%,270,80%,338,254,75%,235,70%,96,28%,82,24%,77,23%,61,18%,71,21%,57,17%,57,17%,62,18%,80,24%,54,16%,0,0%,2,1%,0
Marion,Gervais Elementary,FULL SCHOOL GRADES K-12,402,387,96%,387,96%,391,97%,390,97%,388,97%,390,97%,402,384,96%,381,95%,15,4%,13,3%,14,3%,11,3%,14,3%,12,3%,12,3%,11,3%,12,3%,10,2%,0,0%,0,0%,0
